 Loading hOCR: 004_02_0.hocr...
Found 2658 words. Processing in batches of 400...

Batch 0-400 Processing...
   [OK] 'Volunt' -> 'Volunt-'

   [OK] 'p.ofeffed' -> 'professed'

   [OK] 'fubordination' -> 'subordination'

   [OK] 'CHARTERS' -> 'CHARTRES'

   [OK] 'est' -> 'est-'

   [OK] '.' -> ''

   [OK] 'refidence' -> 'residence'
 Done. (38 changes applied)

Batch 800-1200 Processing...
   [OK] 'fingular' -> 'singular'

   [OK] 'ftri' -> 'stri'

   [OK] '&' -> 'c'

   [OK] 'pofed' -> 'posed'

   [OK] 'Philofophy' -> 'Philosophy'

   [OK] 'Yomewhere' -> 'Somewhere'

   [OK] 'modeft' -> 'modest'

   [OK] 'poft' -> 'post'

   [OK] 'feem' -> 'seem'

   [OK] 'tranferred' -> 'transferred'

   [OK] 'bonor' -> 'honor'

   [OK] 'ifts' -> 'ists'

   [OK] 'rife' -> 'rise'

   [OK] 'Lafayete' -> 'Lafayette'

   [OK] 'ferve' -> 'serve'

   [OK] 'Coun' -> 'Coun-'

   [OK] 'difobediance' -> 'disobedience'

   [OK] 'fplendid' -> 'splendid'

   [OK] 'truft' -> 'trust'

   [OK] 'fame' -> 'same'

   [OK] '1' -> 'T'

   [OK] 'huilleries' -> 'uilleries'

   [OK] 'Fletinghoff' -> 'Fleetinghoff'

   [OK] 'fepa-' -> 'sepa-'

   [OK] 'teftimony' -> 'testimony'

   [OK] 'fentiments' -> 'sentiments'

   [OK] 'feen' -> 'seen'

   [OK] 'lefs' -> 'less'

   [OK] 'fame' -> 'same'

   [OK] 'fee' -> 'see'

   [OK] 'whole' -> 'whose'

   [OK] 'efteem' -> 'esteem'
 Done. (32 changes applied)

Batch 1200-1600 Processing...
   [OK] 'fincere' -> 'sincere'

   [OK] 'mifes' -> 'mises'

   [OK] 'exiftence' -> 'existence'

   [OK] 'folid' -> 'solid'

   [OK] 'affure' -> 'assure'

   [OK] 'conftancy' -> 'constancy'

   [OK] 'fentiments' -> 'sentiments'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'Aoûr' -> 'Août'

   [OK] 'I' -> 'Il'

   [OK] 'vélaché' -> 'relâché'

   [OK] 'févérité' -> 'sévérité'

   [OK] 'lex' -> 'le'

   [OK] 'dese' -> '1er'

   [OK] 'Meis' -> 'mois'

   [OK] 'We' -> 'elle'

   [OK] 'fuivante' -> 'suivante'

   [OK] 'prifes' -> 'prises'

   [OK] 'faifant' -> 'faisant'

   [OK] 'diftinction' -> 'distinction'

   [OK] 'diftinctions' -> 'distinctions'

   [OK] 'so' -> '20'

   [OK] 'etag' -> 'et'

   [OK] 'tte' -> 'este'

   [OK] 'doure' -> 'doute'

   [OK] 'favoir' -> 'savoir'

   [OK] 'tou' -> 'tous'

   [OK] 'préfen' -> 'présen'

   [OK] 'ferment' -> 'serment'

   [OK] 'refuferont' -> 'refuseront'

   [OK] 'prêters' -> 'prêter'

   [OK] 'Nailfance' -> 'Naissance'

   [OK] 'polf' -> 'polit'

   [OK] 'fujerion' -> 'sujetion'

   [OK] 'stique' -> 'mestiques'

   [OK] 'cunation' -> 'clamation'

   [OK] 'po' -> 'por'

   [OK] 'ta' -> 'tant'

   [OK] 't' -> ''

   [OK] 'ferme' -> 'serment'

   [OK] 't' -> ''

   [OK] 'dite' -> 'qualite'

   [OK] 'fimple' -> 'simple'

   [OK] 'foumillion' -> 'soumission'

   [OK] 'yne' -> 'yaume'

   [OK] 'fernt' -> 'seront'

   [OK] 'dirunt' -> 'diront'

   [OK] 'a'ecriront' -> 'n'ecriront'

   [OK] 'chofe' -> 'chose'

   [OK] 'jer-' -> 'ser-'

   [OK] 'fedule' -> 'cedule'

   [OK] 'Aina' -> 'Ainsi'

   [OK] 'fue' -> 'cette'

   [OK] 'abfurdités' -> 'absurdités'

   [OK] 'foumettre' -> 'soumettre'

   [OK] 'anathématite' -> 'anathématise'

   [OK] 'configné' -> 'consigné'

   [OK] 'conftitutio-' -> 'constitutio-'

   [OK] 'net' -> 'nnel'

   [OK] 'adiité' -> 'assiste'

   [OK] 'confecration' -> 'consecration'
 Done. (61 changes applied)

Batch 1600-2000 Processing...
   [OK] 'seable' -> 'semblee'

   [VETO] Orig: 'résorme' | AI: 'réforme' | Reason: VETO_REVERSE_S_TO_F

   [OK] 'l'Eglife' -> 'l'Eglise'

   [OK] 'promulgé' -> 'promulgué'

   [OK] 'fou-' -> 'sou-'

   [OK] 'renu' -> 'tenu'

   [OK] 'obci' -> 'obei'

   [OK] 'Aina' -> 'Ainsi'

   [OK] 'faint' -> 'saint'

   [OK] 'cavoyer' -> 'envoyer'

   [OK] 'quarcs' -> 'quarts'

   [OK] 'bioc' -> 'bloc'

   [OK] 'femble' -> 'semble'

   [OK] 'abielu.ment' -> 'absolument'

   [OK] 'abandonnce' -> 'abandonnee'

   [OK] 'prefque' -> 'presque'

   [OK] 'i' -> 'l''

   [OK] 'fembice' -> 'semblee'

   [OK] 'negoc' -> 'negoc-'

   [OK] 'penie' -> 'pense'

   [OK] 'pofition' -> 'position'

   [OK] 'faitoit' -> 'faisoit'

   [OK] 'qu'en' -> 'qu'on'

   [OK] 'puloit' -> 'posoit'

   [OK] 'offer' -> 'offrir'

   [OK] 'Aut' -> 'Aout'

   [OK] 'Antrichiennes' -> 'Autrichiennes'

   [OK] 'Pais' -> 'Pays'

   [OK] 'Pas' -> 'Bas'

   [OK] 'caules' -> 'causes'

   [OK] 'guérie' -> 'guerre'

   [OK] 'ant' -> 'vant'

   [OK] 'foidats' -> 'soldats'

   [OK] 'Darmtadt' -> 'Darmstadt'

   [OK] 'cames' -> 'cannes'

   [OK] 'dilant' -> 'disant'

   [OK] 'fouffriroient' -> 'souffriroient'

   [OK] 'plu' -> 'plus'

   [OK] 'batus' -> 'battus'

   [OK] 'accordce' -> 'accordees'

   [OK] 'l'organifat' -> 'l'organisat'

   [OK] 'Françoife' -> 'Françoise'

   [OK] 'dé.iberuient' -> 'déliberoient'

   [OK] 'inclures' -> 'mesures'

   [OK] 'foldats' -> 'soldats'

   [OK] 'ailemb' -> 'assemble'

   [OK] 'ces' -> 'es'

   [OK] 'institus' -> 'institue'

   [OK] 'onfeil' -> 'conseil'

   [OK] 'difcipline' -> 'discipline'

   [OK] 'étre' -> 'être'

   [OK] 'fingul-' -> 'singul-'

   [OK] 'frictement' -> 'strictement'

   [OK] 'impotes' -> 'imposes'

   [OK] 'eiprit' -> 'esprit'

   [OK] 'philofophie' -> 'philosophie'

   [OK] 'enfeigné' -> 'enseigné'

   [OK] 'prétent' -> 'présent'

   [OK] 'ficcle' -> 'siecle'

   [OK] 'Butke' -> 'Burke'

   [VETO] Orig: 'qualiser' | AI: 'qualifier' | Reason: VETO_REVERSE_S_TO_F

   [OK] 'modefte' -> 'modeste'

   [OK] 'd'infamous' -> 'd'infame'

   [OK] 'ement' -> 'ment'

   [OK] 'poftes' -> 'postes'

   [OK] 'eftimés' -> 'estimés'
 Done. (64 changes applied)

Batch 2000-2400 Processing...
   [OK] 'fidélement' -> 'fidèlement'

   [OK] 'Enun' -> 'En un'

   [OK] 'feuolent' -> 'seuloient'

   [OK] 'penfent' -> 'pensent'

   [OK] 'confifte' -> 'consiste'

   [OK] 'erut' -> 'crut'

   [OK] 'fervir' -> 'servir'

   [OK] 'caule' -> 'cause'

   [OK] 'obéillance' -> 'obéissance'

   [OK] 'réligna' -> 'résigna'

   [OK] 'f'enrôla' -> 's'enrôla'

   [OK] 'limple' -> 'simple'

   [OK] 'foldat' -> 'soldat'

   [OK] 'fentinelle' -> 'sentinelle'

   [OK] 'foit' -> 'soit'

   [OK] 'fufpicions' -> 'suspicions'

   [OK] 'feru' -> 'scru'

   [OK] 'fubordination' -> 'subordination'

   [OK] 'Montpenfier' -> 'Montpensier'

   [OK] 'fimple' -> 'simple'

   [OK] 'foldat' -> 'soldat'

   [OK] 'ctoit' -> 'etoit'

   [OK] 'eftimé' -> 'estimé'

   [OK] 'réa-' -> 'rési-'

   [OK] 'Riponje' -> 'Réponse'

   [OK] 'Varfovie' -> 'Varsovie'

   [OK] 'feparation' -> 'separation'

   [OK] 'tentimens' -> 'sentimens'

   [OK] 'auffi' -> 'aussi'

   [OK] 'dernier.J'ai' -> 'dernier. J'ai'

   [OK] 'inftruit' -> 'instruit'

   [OK] 'auffi' -> 'aussi'

   [OK] 'prife' -> 'prise'

   [OK] 'pa.s' -> 'pays'

   [OK] 'fuccè' -> 'succès'

   [OK] 'fatisfait' -> 'satisfait'

   [OK] 's'elt' -> 's'est'

   [OK] 'cunci' -> 'conci'

   [OK] 'Hié' -> 'liè'
 Done. (39 changes applied)

Batch 2400-2658 Processing...
   [OK] 'eit' -> 'est'

   [OK] 'remerci.nens' -> 'remerciemens'

   [OK] 'finceres' -> 'sinceres'

   [OK] 'voules' -> 'voulez'

   [OK] 'exiftence' -> 'existence'

   [OK] 'affurée' -> 'assurée'

   [OK] 'heureufe' -> 'heureuse'

   [OK] '11' -> 'Il'

   [OK] 'dous' -> 'doux'

   [OK] 'Monheur' -> 'Monsieur'

   [OK] 'conftance' -> 'constance'

   [OK] 'fentimens' -> 'sentimens'

   [OK] 'ves' -> 'vus'

   [OK] 'AUCUSTE' -> 'AUGUSTE'

   [OK] 'aizes' -> 'assises'

   [OK] 'personne' -> 'personnes'

   [OK] 'cues' -> 'convain-'

   [OK] 'de' -> 'cues'

   [OK] 'crime' -> 'de'

   [OK] 'capital' -> 'crime'

   [OK] ',' -> 'capital'

   [OK] 'pour' -> ','

   [OK] 'avoir' -> 'pour'

   [OK] 'été' -> 'avoir'

   [OK] 'complices' -> 'été'

   [OK] 'dans' -> 'complices'

   [OK] 'les' -> 'dans'

   [OK] 'récents' -> 'les'

   [OK] 'émeutes' -> 'récents'

   [OK] '.' -> 'émeutes'

   [OK] 'Les' -> '.'

   [OK] 'jurés' -> 'Les'

   [OK] 'ont' -> 'jurés'

   [OK] 'fait' -> 'ont'

   [OK] 'paroitre' -> 'fait'

   [OK] 'dans' -> 'paroitre'

   [OK] 'leurs' -> 'dans'

   [OK] 'verdicts' -> 'leurs'

   [OK] 'une' -> 'verdicts'

   [OK] 'très' -> 'une'

   [OK] 'louable' -> 'très'

   [OK] 'difpofition' -> 'louable'

   [OK] 'à' -> 'disposition'

   [OK] 'la' -> 'à'

   [OK] 'clemence' -> 'la'

   [OK] ';' -> 'clemence'

   [OK] 'mais' -> ';'

   [OK] 'l'on' -> 'mais'

   [OK] 'craint' -> 'l'on'

   [OK] 'que' -> 'craint'

   [OK] 'par' -> 'que'

   [OK] 'le' -> 'par'

   [OK] 'grand' -> 'le'

   [OK] 'nombre' -> 'grand'

   [OK] 'qni' -> 'nombre'

   [OK] 'ont' -> 'qui'

   [OK] 'été' -> 'ont'

   [OK] 'ablous' -> 'été'

   [OK] 'sur' -> 'absous'

   [OK] 'des' -> 'sur'

   [OK] 'prétextes' -> 'des'

   [OK] 'frivoles' -> 'prétextes'

   [OK] 'le' -> 'frivoles'

   [OK] 'démon' -> 'le'

   [OK] 'de' -> 'démon'

   [OK] 'parti' -> 'de'

   [OK] 'conrre' -> 'parti'

   [OK] 'is' -> 'contre'

   [VETO] Orig: 'non-' | AI: 'les' | Reason: VETO_HYPHEN_LOSS

   [OK] 'conformiftes' -> 'non-'

   [OK] 'ne' -> 'conformistes'

   [OK] 'fait' -> 'ne'

   [OK] 'encore' -> 'fait'

   [OK] 'loin' -> 'encore'

   [OK] 'de' -> 'loin'

   [OK] 's'appaifer' -> 'de'

   [OK] '.' -> 's'apaiser'

   [OK] 'Nuus' -> 'Nous'

   [OK] 'oions' -> 'osons'

   [OK] 'nouflatter' -> 'nousflatter'

   [OK] 'trifte' -> 'triste'

   [OK] 'ds' -> 'des'

   [OK] 'l'animolité' -> 'l'animosité'

   [OK] 'pas' -> 'passi-'

   [OK] 'foit' -> 'soit'

   [OK] 'fufceptib.e' -> 'susceptible'

   [OK] 'cunndération' -> 'considération'

   [OK] ''' -> ''

   [OK] 'fericufe' -> 'sérieuse'

   [OK] 'propoier' -> 'proposer'

   [OK] 'on' -> 'un'

   [OK] 'dat.nétions' -> 'distinctions'
 Done. (91 changes applied)

SUCCESS! Saved to 004_02_0_AI_corrected.hocr.
📊 FINAL STATS:
   - AI Proposed Changes: 381
   - Safety Script Blocked: 6
   - Actual Corrections Applied: 375
⏱️ Total Execution Time: 0h 14m 27.14s
