 Loading hOCR: 004_02_0.hocr...
Found 2658 words. Processing in batches of 400...

Batch 0-400 Processing...
   [OK] 'Pope' -> 'Pope-'

   [OK] 'ifts' -> 'ists'

   [OK] 'rife' -> 'rise'

   [OK] 'Lafayete' -> 'Lafayette'

   [OK] 'ferve' -> 'serve'

   [OK] 'Coun' -> 'Coun-'

   [OK] 'difobediance' -> 'disobedience'

   [OK] 'fplendid' -> 'splendid'

   [OK] 'truft' -> 'trust'

   [OK] 'fame' -> 'same'

   [OK] 'flood' -> 'stood'

   [OK] 'centinel' -> 'sentinel'

   [OK] '1' -> 'Tuilleries'

   [OK] 'huilleries' -> '-'

   [OK] '-O' -> 'O'

   [OK] 'Fletinghoff' -> 'Fleitinghoff'

   [OK] 'fepa-' -> 'sepa-'

   [OK] 'teftimony' -> 'testimony'

   [OK] 'fentiments' -> 'sentiments'

   [OK] 'feen' -> 'seen'

   [OK] 'lefs' -> 'less'

   [OK] 'fame' -> 'same'

   [OK] 'fee' -> 'see'

   [OK] 'whole' -> 'whose'

   [OK] 'efteem' -> 'esteem'
 Done. (36 changes applied)

Batch 1200-1600 Processing... Failed (Finish Reason: 2)

Batch 1600-2000 Processing... Error: Expecting ':' delimiter: line 1 column 3386 (char 3385)

Batch 2000-2400 Processing...
   [OK] 'fidélement' -> 'fidèlement'

   [OK] 'penfent' -> 'pensent'

   [OK] 'confifte' -> 'consiste'

   [OK] 'meme' -> 'même'

   [OK] 'erut' -> 'crut'

   [OK] 'fervir' -> 'servir'

   [OK] 'caule' -> 'cause'

   [OK] 'obéillance' -> 'obéissance'

   [OK] 'réligna' -> 'réfigna'

   [OK] 'f'enrôla' -> 's'enrôla'

   [OK] 'limple' -> 'simple'

   [OK] 'foldat' -> 'soldat'

   [OK] 'fentinelle' -> 'sentinelle'

   [OK] 'd'Orleans' -> 'd'Orléans'

   [OK] 'foit' -> 'soit'

   [OK] 'fufpicions' -> 'suspicions'

   [OK] 'die' -> 'nie'

   [OK] 'réproches' -> 'reproches'

   [OK] 'a' -> 'à'

   [OK] 'feru' -> 'feru-'

   [OK] 'regulier' -> 'régulier'

   [OK] 'fubordination' -> 'subordination'

   [OK] 'Montpenfier' -> 'Montpensier'

   [OK] 'fimple' -> 'simple'

   [OK] 'foldat' -> 'soldat'

   [OK] 'ctoit' -> 'étoit'

   [OK] 'eftimé' -> 'estimé'

   [OK] 'réa-' -> 'réfi-'

   [OK] 'Varfovie' -> 'Varsovie'

   [OK] 'feparation' -> 'séparation'

   [OK] 'tentimens' -> 'sentimens'

   [OK] 'auffi' -> 'aussi'

   [OK] 'inftruit' -> 'instruit'

   [OK] 'auffi' -> 'aussi'

   [OK] 'prife' -> 'prise'

   [OK] 'pa.s' -> 'pa.'

   [OK] 'que' -> 's'

   [OK] 'vous' -> 'que'

   [OK] 'habites' -> 'vous'

   [OK] ',' -> 'habites'

   [OK] 'vous' -> ','

   [OK] 'font' -> 'vous'

   [OK] 'prendre' -> 'font'

   [OK] 'part' -> 'prendre'

   [OK] 'd'une' -> 'part'

   [OK] 'maniere' -> 'd'une'

   [OK] 'si' -> 'maniere'

   [OK] 'agréable' -> 'si'

   [OK] 'pour' -> 'agréable'

   [OK] 'moi' -> 'pour'

   [OK] 'a' -> 'moi'

   [OK] 'la' -> 'à'

   [OK] 'révolution' -> 'la'

   [OK] 'de' -> 'révolution'

   [OK] 'Pologne' -> 'de'

   [OK] '.' -> 'Pologne'

   [OK] 'Le' -> '.'

   [OK] 'fuccè' -> 'Le'

   [OK] ',' -> 'succès'

   [OK] 'de' -> ','

   [OK] 'celle' -> 'de'

   [OK] 'ci' -> 'celle'

   [OK] 'ne' -> 'ci'

   [OK] 'me' -> 'ne'

   [OK] 'fatisfait' -> 'me'

   [VETO] Orig: 'jamais' | AI: 'satisfait' | Reason: VETO_REVERSE_S_TO_F

   [OK] 'davantage' -> 'jamais'

   [OK] ',' -> 'davantage'

   [OK] 'que' -> ','

   [OK] 'quand' -> 'que'

   [OK] 'je' -> 'quand'

   [OK] 'le' -> 'je'

   [OK] 'vois' -> 'le'

   [OK] 'applaudi' -> 'vois'

   [OK] 'par' -> 'applaudi'

   [OK] 'ceux' -> 'par'

   [OK] 'dont' -> 'ceux'

   [OK] 'le' -> 'dont'

   [OK] 'merite' -> 'le'

   [OK] 's'elt' -> 'mérite'

   [OK] 'cunci' -> 's'est'

   [OK] 'Hié' -> 'cun-'

   [OK] 'depuis' -> 'ci-'

   [OK] 'long' -> 'hié.'
 Done. (83 changes applied)

Batch 2400-2658 Processing...
   [OK] 'particuliere' -> 'particuliere.'

   [OK] 'titre' -> 'titre,'

   [OK] 'Monsieur' -> 'Monsieur,'

   [OK] 'remerci.nens' -> 'remerciemens'

   [OK] 'finceres' -> 'sinceres'

   [OK] 'l'évenement' -> 'l'événement'

   [OK] 'exiftence' -> 'existence'

   [OK] 'affurée' -> 'assurée'

   [OK] 'heureufe' -> 'heureuse'

   [OK] 'l'avenir' -> 'l'avenir.'

   [OK] 'dous' -> 'doux'

   [OK] 'assurer' -> 'assurer,'

   [OK] 'Monheur' -> 'Monheur,'

   [OK] 'conftance' -> 'confiance'

   [OK] 'fentimens' -> 'sentimens'

   [OK] 'connaître' -> 'connaître.'

   [OK] 'Birmingham' -> 'Birmingham.'

   [OK] 'aizes' -> 'assises'

   [OK] 'Warwick' -> 'Warwick,'

   [OK] 'présent' -> 'présent,'

   [OK] 'capital' -> 'capital,'

   [OK] 'émeutes' -> 'émeutes.'

   [OK] 'difpofition' -> 'disposition'

   [OK] 'qni' -> 'qui'

   [OK] 'conrre' -> 'contre'

   [OK] 'is' -> 'les'

   [OK] 'conformiftes' -> 'conformistes'

   [OK] 's'appaifer' -> 's'appaiser.'

   [OK] 'Nuus' -> 'Nous'

   [OK] 'oions' -> 'osons'

   [OK] 'trifte' -> 'triste'

   [OK] 'ds' -> 'des'

   [OK] 'civiles' -> 'civiles,'

   [OK] 'religieuses' -> 'religieuses,'

   [OK] 'l'animolité' -> 'l'animosité,'

   [OK] 'haine' -> 'haine,'

   [OK] 'violence' -> 'violence,'

   [OK] 'pas' -> 'pas-'

   [OK] 'ons' -> 'sions'

   [OK] 'foit' -> 'soit'

   [OK] 'fufceptib.e' -> 'susceptible,'

   [OK] 'religion' -> 'religion,'

   [OK] 'société' -> 'société,'

   [OK] 'cunndération' -> 'considération'

   [OK] 'fericufe' -> 'férieuse,'

   [OK] 'propoier' -> 'proposer'

   [OK] 'on' -> 'un'

   [OK] 'dat.nétions' -> 'distinctions.'
 Done. (48 changes applied)

SUCCESS! Saved to 004_02_0_AI_corrected.hocr.
📊 FINAL STATS:
   - AI Proposed Changes: 296
   - Safety Script Blocked: 4
   - Actual Corrections Applied: 292
⏱️ Total Execution Time: 0h 4m 22.43s
