Source File,Original Word,AI Corrected Word,Change Type
004_02_0.hocr,.,,REPLACED
004_02_0.hocr,poft-,post-,REPLACED
004_02_0.hocr,poned,"poned,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,abandoned,abandoned.,REPLACED
004_02_0.hocr,.,,REPLACED
004_02_0.hocr,certain,"certain,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,Affembly,Assembly,REPLACED
004_02_0.hocr,Princes,"Princes,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,propofition,proposition,REPLACED
004_02_0.hocr,them,them.,REPLACED
004_02_0.hocr,Bruffels,"Brussels,",REPLACED
004_02_0.hocr,lefs,less,REPLACED
004_02_0.hocr,apprehen,apprehen-,REPLACED
004_02_0.hocr,.,.,REPLACED
004_02_0.hocr,Give,sive,REPLACED
004_02_0.hocr,Germany,Germany.,REPLACED
004_02_0.hocr,Auftrian,Austrian,REPLACED
004_02_0.hocr,expreffed,expressed,REPLACED
004_02_0.hocr,difpofition,disposition,REPLACED
004_02_0.hocr,,to,REPLACED
004_02_0.hocr,war,"war,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,againt,against,REPLACED
004_02_0.hocr,France,France.,REPLACED
004_02_0.hocr,add,"add,",REPLACED
004_02_0.hocr,Darmitadt,Darmstadt,REPLACED
004_02_0.hocr,them,"them,",REPLACED
004_02_0.hocr,fubmit,submit,REPLACED
004_02_0.hocr,theic,these,REPLACED
004_02_0.hocr,teen,seen,REPLACED
004_02_0.hocr,meatures,measures,REPLACED
004_02_0.hocr,Affemblies,Assemblies,REPLACED
004_02_0.hocr,inftituted,instituted,REPLACED
004_02_0.hocr,felves,selves,REPLACED
004_02_0.hocr,difcipline,discipline,REPLACED
004_02_0.hocr,till,still,REPLACED
004_02_0.hocr,fufpicion,suspicion,REPLACED
004_02_0.hocr,fcrupulous,scrupulous,REPLACED
004_02_0.hocr,Volunt,Volunt-,REPLACED
004_02_0.hocr,p.ofeffed,professed,REPLACED
004_02_0.hocr,fubordination,subordination,REPLACED
004_02_0.hocr,CHARTERS,CHARTRES,REPLACED
004_02_0.hocr,est,est-,REPLACED
004_02_0.hocr,refidence,residence,REPLACED
004_02_0.hocr,fingular,singular,REPLACED
004_02_0.hocr,ftri,strict,REPLACED
004_02_0.hocr,&,,REPLACED
004_02_0.hocr,t,,REPLACED
004_02_0.hocr,pofed,posed,REPLACED
004_02_0.hocr,on,im-,REPLACED
004_02_0.hocr,law,law—so,REPLACED
004_02_0.hocr,-,,REPLACED
004_02_0.hocr,so,,REPLACED
004_02_0.hocr,that,-,REPLACED
004_02_0.hocr,Philofophy,"Philosophy,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,Century,"Century,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,Mr,Mr.,REPLACED
004_02_0.hocr,Yomewhere,somewhere,REPLACED
004_02_0.hocr,modeft,modest,REPLACED
004_02_0.hocr,poft,post,REPLACED
004_02_0.hocr,executed,executed—in,REPLACED
004_02_0.hocr,,a,REPLACED
004_02_0.hocr,,word,REPLACED
004_02_0.hocr,,they,REPLACED
004_02_0.hocr,,seem,REPLACED
004_02_0.hocr,,to,REPLACED
004_02_0.hocr,,have,REPLACED
004_02_0.hocr,in,the,REPLACED
004_02_0.hocr,bonor,honor,REPLACED
004_02_0.hocr,Pope,Pope-,REPLACED
004_02_0.hocr,ifts,ists,REPLACED
004_02_0.hocr,rife,"rise,",REPLACED
004_02_0.hocr,part,"part,",REPLACED
004_02_0.hocr,lies,"lies.""",REPLACED
004_02_0.hocr,Lafayete,"Lafayete,",REPLACED
004_02_0.hocr,ferve,serve,REPLACED
004_02_0.hocr,Coun,Coun-,REPLACED
004_02_0.hocr,Troops,"Troops,",REPLACED
004_02_0.hocr,difobediance,disobediance,REPLACED
004_02_0.hocr,last,"last,",REPLACED
004_02_0.hocr,fplendid,splendid,REPLACED
004_02_0.hocr,truft,"trust,",REPLACED
004_02_0.hocr,Kingdom,"Kingdom,",REPLACED
004_02_0.hocr,fame,same,REPLACED
004_02_0.hocr,lived,"lived,",REPLACED
004_02_0.hocr,private,"private,",REPLACED
004_02_0.hocr,flood,stood,REPLACED
004_02_0.hocr,1,T,REPLACED
004_02_0.hocr,-O,—O,REPLACED
004_02_0.hocr,Fletinghoff,Vietinghoff,REPLACED
004_02_0.hocr,28th,28th.,REPLACED
004_02_0.hocr,Vietinghoff,"Vietinghoff,",REPLACED
004_02_0.hocr,fepa-,sepa-,REPLACED
004_02_0.hocr,teftimony,testimony,REPLACED
004_02_0.hocr,fentiments,sentiments,REPLACED
004_02_0.hocr,4th,4th.,REPLACED
004_02_0.hocr,feen,seen,REPLACED
004_02_0.hocr,lefs,less,REPLACED
004_02_0.hocr,fame,same,REPLACED
004_02_0.hocr,fee,see,REPLACED
004_02_0.hocr,whole,whose,REPLACED
004_02_0.hocr,efteem,esteem,REPLACED
004_02_0.hocr,fincere,sincere,REPLACED
004_02_0.hocr,mifes,mises,REPLACED
004_02_0.hocr,exiftence,existence,REPLACED
004_02_0.hocr,folid,solid,REPLACED
004_02_0.hocr,affure,assure,REPLACED
004_02_0.hocr,conftancy,constancy,REPLACED
004_02_0.hocr,of,of,REPLACED
004_02_0.hocr,the,the,REPLACED
004_02_0.hocr,fentiments,sentiments,REPLACED
004_02_0.hocr,expreffed,expressed,REPLACED
004_02_0.hocr,Aoûr,Août,REPLACED
004_02_0.hocr,.,.,REPLACED
004_02_0.hocr,I,Il,REPLACED
004_02_0.hocr,d'espagne,d'Espagne,REPLACED
004_02_0.hocr,vélaché,relâché,REPLACED
004_02_0.hocr,févérité,sévérité,REPLACED
004_02_0.hocr,lex,les,REPLACED
004_02_0.hocr,dese,dits,REPLACED
004_02_0.hocr,Meis,Mois,REPLACED
004_02_0.hocr,We,elle,REPLACED
004_02_0.hocr,fuivante,suivante,REPLACED
004_02_0.hocr,prifes,prises,REPLACED
004_02_0.hocr,faifant,faisant,REPLACED
004_02_0.hocr,diftinction,distinction,REPLACED
004_02_0.hocr,diftinctions,distinctions,REPLACED
004_02_0.hocr,so,20,REPLACED
004_02_0.hocr,etag,et 29,REPLACED
004_02_0.hocr,tte,esté,REPLACED
004_02_0.hocr,doure,doute,REPLACED
004_02_0.hocr,favoir,savoir,REPLACED
004_02_0.hocr,tou,tous,REPLACED
004_02_0.hocr,préfen,préfen-,REPLACED
004_02_0.hocr,reront,teront,REPLACED
004_02_0.hocr,ferment,serment,REPLACED
004_02_0.hocr,refuferont,refuseront,REPLACED
004_02_0.hocr,prêters,prêter,REPLACED
004_02_0.hocr,renonci,renonci-,REPLACED
004_02_0.hocr,Nailfance,Naissance,REPLACED
004_02_0.hocr,polf,poli-,REPLACED
004_02_0.hocr,iques,tiques,REPLACED
004_02_0.hocr,fujerion,sujétion,REPLACED
004_02_0.hocr,stique,mestique,REPLACED
004_02_0.hocr,propriétes,propriétés,REPLACED
004_02_0.hocr,cunation,clamation,REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,po,por-,REPLACED
004_02_0.hocr,ta,tan-,REPLACED
004_02_0.hocr,ferme,serment,REPLACED
004_02_0.hocr,residents,résidents,REPLACED
004_02_0.hocr,dite,qualité,REPLACED
004_02_0.hocr,fera,sera,REPLACED
004_02_0.hocr,fimple,simple,REPLACED
004_02_0.hocr,foumillion,soumission,REPLACED
004_02_0.hocr,Ro,Ro-,REPLACED
004_02_0.hocr,yne,yaume,REPLACED
004_02_0.hocr,fernt,seront,REPLACED
004_02_0.hocr,dirunt,diront,REPLACED
004_02_0.hocr,a'ecriront,n'ecriront,REPLACED
004_02_0.hocr,chofe,chose,REPLACED
004_02_0.hocr,jer-,ser-,REPLACED
004_02_0.hocr,le,les,REPLACED
004_02_0.hocr,fedule,sedule,REPLACED
004_02_0.hocr,Juillet,Juillet?,REPLACED
004_02_0.hocr,Aina,Ainsi,REPLACED
004_02_0.hocr,fue,l'issue,REPLACED
004_02_0.hocr,abfurdités,absurdités,REPLACED
004_02_0.hocr,foumettre,soumettre,REPLACED
004_02_0.hocr,anathématite,anathématisé,REPLACED
004_02_0.hocr,et,et,REPLACED
004_02_0.hocr,configné,consigné,REPLACED
004_02_0.hocr,conftitutio-,constitutio-,REPLACED
004_02_0.hocr,net,nel,REPLACED
004_02_0.hocr,adiité,assisté,REPLACED
004_02_0.hocr,a,à,REPLACED
004_02_0.hocr,la,la,REPLACED
004_02_0.hocr,confecration,consécration,REPLACED
004_02_0.hocr,enfuite,ensuite,REPLACED
004_02_0.hocr,seable,semblee,REPLACED
004_02_0.hocr,l'Eglife,l'Eglise,REPLACED
004_02_0.hocr,promulgé,promulgué,REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,fou-,sou-,REPLACED
004_02_0.hocr,renu,tenu,REPLACED
004_02_0.hocr,approuve,approuvé,REPLACED
004_02_0.hocr,et,et,REPLACED
004_02_0.hocr,obci,obéi,REPLACED
004_02_0.hocr,décrets,décrets.,REPLACED
004_02_0.hocr,.,.,REPLACED
004_02_0.hocr,Aina,Ainsi,REPLACED
004_02_0.hocr,faint,saint,REPLACED
004_02_0.hocr,cavoyer,envoyer,REPLACED
004_02_0.hocr,quarcs,quarts,REPLACED
004_02_0.hocr,bioc,bloc.,REPLACED
004_02_0.hocr,FRANCE,FRANCE.,REPLACED
004_02_0.hocr,femble,semble,REPLACED
004_02_0.hocr,différée,"différée,",REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,&,si,REPLACED
004_02_0.hocr,abielu.ment,absolument,REPLACED
004_02_0.hocr,abandonnce,abandonnée.,REPLACED
004_02_0.hocr,prefque,presque,REPLACED
004_02_0.hocr,i,l'As-,REPLACED
004_02_0.hocr,fembice,semblee,REPLACED
004_02_0.hocr,font,sont,REPLACED
004_02_0.hocr,negoc,negoc-,REPLACED
004_02_0.hocr,penie,pense,REPLACED
004_02_0.hocr,pro,pro-,REPLACED
004_02_0.hocr,pofition,position,REPLACED
004_02_0.hocr,faitoit,faisoit,REPLACED
004_02_0.hocr,qu'en,qu'on,REPLACED
004_02_0.hocr,puloit,posoit,REPLACED
004_02_0.hocr,offer,offrir,REPLACED
004_02_0.hocr,Aut,Août,REPLACED
004_02_0.hocr,recens,récens,REPLACED
004_02_0.hocr,côte,côté,REPLACED
004_02_0.hocr,Antrichiennes,Autrichiennes,REPLACED
004_02_0.hocr,Pais,Païs,REPLACED
004_02_0.hocr,Pas,Bas,REPLACED
004_02_0.hocr,caules,causes,REPLACED
004_02_0.hocr,de,de,REPLACED
004_02_0.hocr,la,la,REPLACED
004_02_0.hocr,guérie,guerre,REPLACED
004_02_0.hocr,a,avant,REPLACED
004_02_0.hocr,ant,,REPLACED
004_02_0.hocr,,soldats,INSERTED
004_02_0.hocr,Darmtadt,Darmstadt,REPLACED
004_02_0.hocr,font,sont,REPLACED
004_02_0.hocr,enfuite,ensuite,REPLACED
004_02_0.hocr,cames,canes,REPLACED
004_02_0.hocr,dilant,disant,REPLACED
004_02_0.hocr,fouffriroient,souffriroient,REPLACED
004_02_0.hocr,plu,plus,REPLACED
004_02_0.hocr,Ce,Ces,REPLACED
004_02_0.hocr,ete,été,REPLACED
004_02_0.hocr,accordce,accordées,REPLACED
004_02_0.hocr,',n',REPLACED
004_02_0.hocr,cue,eussent,REPLACED
004_02_0.hocr,tive,vu,REPLACED
004_02_0.hocr,l'organifat,l'organisation,REPLACED
004_02_0.hocr,on,,REPLACED
004_02_0.hocr,Françoife,Françoise,REPLACED
004_02_0.hocr,officiers,les,REPLACED
004_02_0.hocr,dé.iberuient,délibéroient,REPLACED
004_02_0.hocr,inclures,mesures,REPLACED
004_02_0.hocr,foldats,soldats,REPLACED
004_02_0.hocr,ailemb,assemblées,REPLACED
004_02_0.hocr,ces,,REPLACED
004_02_0.hocr,institus,institué,REPLACED
004_02_0.hocr,onfeil,conseil,REPLACED
004_02_0.hocr,de,de,REPLACED
004_02_0.hocr,difcipline,discipline,REPLACED
004_02_0.hocr,,de,REPLACED
004_02_0.hocr,,discipline,REPLACED
004_02_0.hocr,d,de-,REPLACED
004_02_0.hocr,fingul-,singul-,REPLACED
004_02_0.hocr,le,se,REPLACED
004_02_0.hocr,frictement,strictement,REPLACED
004_02_0.hocr,conféres,conférés,REPLACED
004_02_0.hocr,et,et,REPLACED
004_02_0.hocr,impotes,imposés,REPLACED
004_02_0.hocr,eiprit,esprit,REPLACED
004_02_0.hocr,de,de,REPLACED
004_02_0.hocr,philofophie,philosophie,REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,enfeigné,enseigné,REPLACED
004_02_0.hocr,prétent,présent,REPLACED
004_02_0.hocr,ficcle,siecle,REPLACED
004_02_0.hocr,Butke,Burke,REPLACED
004_02_0.hocr,modefte,modeste,REPLACED
004_02_0.hocr,poftes,postes,REPLACED
004_02_0.hocr,font,sont,REPLACED
004_02_0.hocr,eftimés,estimés,REPLACED
004_02_0.hocr,font,sont,REPLACED
004_02_0.hocr,Enun,Enfin,REPLACED
004_02_0.hocr,feuolent,sembloient,REPLACED
004_02_0.hocr,penfent,pensent,REPLACED
004_02_0.hocr,confifte,consiste,REPLACED
004_02_0.hocr,meme,même,REPLACED
004_02_0.hocr,erut,crut,REPLACED
004_02_0.hocr,fervir,servir,REPLACED
004_02_0.hocr,caule,cause,REPLACED
004_02_0.hocr,de,de,REPLACED
004_02_0.hocr,la,la,REPLACED
004_02_0.hocr,def-,dés-,REPLACED
004_02_0.hocr,obéillance,obéissance,REPLACED
004_02_0.hocr,la,le,REPLACED
004_02_0.hocr,réligna,résigna,REPLACED
004_02_0.hocr,f'enrôla,s'enrôla,REPLACED
004_02_0.hocr,limple,simple,REPLACED
004_02_0.hocr,foldat,soldat,REPLACED
004_02_0.hocr,fentinelle,sentinelle,REPLACED
004_02_0.hocr,?,!,REPLACED
004_02_0.hocr,foit,soit,REPLACED
004_02_0.hocr,fufpicions,suspicions,REPLACED
004_02_0.hocr,die,nie,REPLACED
004_02_0.hocr,feru,scru-,REPLACED
004_02_0.hocr,fubordination,subordination,REPLACED
004_02_0.hocr,Montpenfier,Montpensier,REPLACED
004_02_0.hocr,fimple,simple,REPLACED
004_02_0.hocr,foldat,soldat,REPLACED
004_02_0.hocr,ctoit,étoit,REPLACED
004_02_0.hocr,eftimé,estimé,REPLACED
004_02_0.hocr,réa-,rési-,REPLACED
004_02_0.hocr,Riponje,Réponse,REPLACED
004_02_0.hocr,Varfovie,Varsovie,REPLACED
004_02_0.hocr,feparation,séparation,REPLACED
004_02_0.hocr,tentimens,sentimens,REPLACED
004_02_0.hocr,auffi,aussi,REPLACED
004_02_0.hocr,dernier.J'ai,dernier.—J'ai,REPLACED
004_02_0.hocr,parvenu,"parvenu,",REPLACED
004_02_0.hocr,tems,"tems,",REPLACED
004_02_0.hocr,inftruit,instruit,REPLACED
004_02_0.hocr,auffi,aussi,REPLACED
004_02_0.hocr,prife,prise,REPLACED
004_02_0.hocr,France,France.,REPLACED
004_02_0.hocr,pa.s,pays,REPLACED
004_02_0.hocr,habites,"habitez,",REPLACED
004_02_0.hocr,a,à,REPLACED
004_02_0.hocr,Pologne,Pologne.,REPLACED
004_02_0.hocr,fuccè,"succès,",REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,de,de,REPLACED
004_02_0.hocr,celle,celle-ci,REPLACED
004_02_0.hocr,fatisfait,satisfait,REPLACED
004_02_0.hocr,davantage,"davantage,",REPLACED
004_02_0.hocr,s'elt,s'est,REPLACED
004_02_0.hocr,cunci,conci-,REPLACED
004_02_0.hocr,Hié,lié,REPLACED
004_02_0.hocr,eit,estime,REPLACED
004_02_0.hocr,me,particuliere.,REPLACED
004_02_0.hocr,particuliere,Agrees,REPLACED
004_02_0.hocr,.,a,REPLACED
004_02_0.hocr,Agrées,"titre,",REPLACED
004_02_0.hocr,à,"Monsieur,",REPLACED
004_02_0.hocr,ce,,REPLACED
004_02_0.hocr,titre,,REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,Monsieur,,REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,remerci.nens,remerciemens,REPLACED
004_02_0.hocr,ses,les,REPLACED
004_02_0.hocr,finceres,sinceres,REPLACED
004_02_0.hocr,l'évenement,l'evenement,REPLACED
004_02_0.hocr,à,a,REPLACED
004_02_0.hocr,exiftence,existence,REPLACED
004_02_0.hocr,affurée,assuree,REPLACED
004_02_0.hocr,heureufe,heureuse,REPLACED
004_02_0.hocr,à,a,REPLACED
004_02_0.hocr,l'avenir,l'avenir.,REPLACED
004_02_0.hocr,.,Il,REPLACED
004_02_0.hocr,-,,REPLACED
004_02_0.hocr,11,,REPLACED
004_02_0.hocr,dous,doux,REPLACED
004_02_0.hocr,raison,-,REPLACED
004_02_0.hocr,assurer,"assurer,",REPLACED
004_02_0.hocr,",","Monsieur,",REPLACED
004_02_0.hocr,Monheur,de,REPLACED
004_02_0.hocr,",",la,REPLACED
004_02_0.hocr,de,constance,REPLACED
004_02_0.hocr,la,,REPLACED
004_02_0.hocr,conftance,,REPLACED
004_02_0.hocr,fentimens,sentimens,REPLACED
004_02_0.hocr,ves,vous,REPLACED
004_02_0.hocr,,ai,REPLACED
004_02_0.hocr,,voues,REPLACED
004_02_0.hocr,STANISLAS,,DELETED
004_02_0.hocr,-,,DELETED
004_02_0.hocr,AUCUSTE,,DELETED
004_02_0.hocr,",",,DELETED
004_02_0.hocr,ROI,,DELETED
004_02_0.hocr,",",,DELETED
004_02_0.hocr,connaître,connaitre.,REPLACED
004_02_0.hocr,.,"STANISLAS-AUGUSTE,",REPLACED
004_02_0.hocr,,-,REPLACED
004_02_0.hocr,,Proces,REPLACED
004_02_0.hocr,,des,REPLACED
004_02_0.hocr,,Seditieux,REPLACED
004_02_0.hocr,,de,REPLACED
004_02_0.hocr,,Birmingham.,REPLACED
004_02_0.hocr,,Il,REPLACED
004_02_0.hocr,,n'y,REPLACED
004_02_0.hocr,,a,REPLACED
004_02_0.hocr,,eu,REPLACED
004_02_0.hocr,,aux,REPLACED
004_02_0.hocr,,assises,REPLACED
004_02_0.hocr,,de,REPLACED
004_02_0.hocr,personne,personnes,REPLACED
004_02_0.hocr,récents,récentes,REPLACED
004_02_0.hocr,paroitre,paroître,REPLACED
004_02_0.hocr,difpofition,disposition,REPLACED
004_02_0.hocr,clemence,clémence,REPLACED
004_02_0.hocr,qni,qui,REPLACED
004_02_0.hocr,ablous,absous,REPLACED
004_02_0.hocr,conrre,contre,REPLACED
004_02_0.hocr,is,les,REPLACED
004_02_0.hocr,conformiftes,conformistes,REPLACED
004_02_0.hocr,fait,soit,REPLACED
004_02_0.hocr,s'appaifer,s'appaisser,REPLACED
004_02_0.hocr,.,.,REPLACED
004_02_0.hocr,Nuus,Nous,REPLACED
004_02_0.hocr,oions,osons,REPLACED
004_02_0.hocr,nouflatter,nous flatter,REPLACED
004_02_0.hocr,trifte,triste,REPLACED
004_02_0.hocr,ds,des,REPLACED
004_02_0.hocr,l'animolité,l'animosité,REPLACED
004_02_0.hocr,pas,pas-,REPLACED
004_02_0.hocr,ons,sions,REPLACED
004_02_0.hocr,foit,soit,REPLACED
004_02_0.hocr,fufceptib.e,susceptible,REPLACED
004_02_0.hocr,cunndération,considération,REPLACED
004_02_0.hocr,fericufe,sérieuse,REPLACED
004_02_0.hocr,propoier,proposer,REPLACED
004_02_0.hocr,on,un,REPLACED
004_02_0.hocr,dat.nétions,distinctions,REPLACED
004_02_0.hocr,.,.,REPLACED
