ID,Original,Manual,AI,Status
word_1_12_1_3_6,fenfe,sense,fenfe,MISSED_FIX
word_1_12_1_4_4,meflage,message,meflage,MISSED_FIX
word_1_12_1_4_12,effufion,effusion,effufion,MISSED_FIX
word_1_12_1_5_4,diftreffes,distresses,diftreffes,MISSED_FIX
word_1_12_1_6_2,cafing,easing,cafing,MISSED_FIX
word_1_12_1_6_6,diftreffes,distresses,diftreffes,MISSED_FIX
word_1_12_1_7_0,bleffed,blessed,bleffed,MISSED_FIX
word_1_12_1_7_9,mit,mist,mit,MISSED_FIX
word_1_12_1_9_16,difpoled,disposed,disposed,CORRECT_FIX
word_1_12_1_10_3,commiferate,commiserate,commiserate,CORRECT_FIX
word_1_12_1_10_10,fituation,situation,situation,CORRECT_FIX
word_1_12_1_11_8,meffage,message,message,CORRECT_FIX
word_1_12_1_13_9,affifting,assisting,assisting,CORRECT_FIX
word_1_12_1_15_6,beft,best,best,CORRECT_FIX
word_1_12_1_15_7,fupport,support,support,CORRECT_FIX
word_1_12_1_16_2,pirit,spirit,pirit,MISSED_FIX
word_1_12_1_16_5,conflitution,conslitution,constitution,WRONG_FIX
word_1_12_2_0_9,effofions,effofions,effusions,FALSE_POSITIVE
word_1_12_2_1_7,Houfe,Houfe,House,FALSE_POSITIVE
word_1_12_2_1_10,embaraffment,embaraffment,embarassment,FALSE_POSITIVE
word_1_12_2_2_0,feffed,feffed,fessed,FALSE_POSITIVE
word_1_12_2_3_7,Houfe,Houfe,House,FALSE_POSITIVE
word_1_12_2_5_7,meliage,meliage,message,FALSE_POSITIVE
word_1_12_2_5_10,belt,belt,best,FALSE_POSITIVE
word_1_12_2_6_12,fift,fift,first,FALSE_POSITIVE
word_1_12_2_8_0,fence,fence,sence,FALSE_POSITIVE
word_1_12_2_8_9,gracioully,gracioully,graciously,FALSE_POSITIVE
word_1_12_2_9_6,Houfe,Houfe,House,FALSE_POSITIVE
word_1_12_2_10_0,univerfa,univerfa,universa,FALSE_POSITIVE
word_1_12_2_10_1,!,!,l,FALSE_POSITIVE
word_1_12_2_10_2,pleafure,pleafure,pleasure,FALSE_POSITIVE
word_1_12_2_11_2,fpeak,fpeak,speak,FALSE_POSITIVE
word_1_12_2_12_2,Addreis,Address,Address,CORRECT_FIX
word_1_12_2_13_1,molt,most,most,CORRECT_FIX
word_1_12_2_13_3,Mellage,Mellage,Message,FALSE_POSITIVE
word_1_12_2_13_9,alluring,alluring,assuring,FALSE_POSITIVE
word_1_12_2_13_11,Majelly,Majesty,Majesty,CORRECT_FIX
word_1_12_2_15_0,fuggell,suggest,suggest,CORRECT_FIX
word_1_12_2_16_2,feconded,feconded,seconded,FALSE_POSITIVE
word_1_12_2_17_12,profpeét,prospect,prospect,CORRECT_FIX
word_1_12_2_18_5,Englifhmen,Englishmen,Englishmen,CORRECT_FIX
word_1_12_2_20_10,fee,see,fee,MISSED_FIX
word_1_12_2_21_8,railed,raised,railed,MISSED_FIX
word_1_12_2_22_5,refplendent,resplendent,refplendent,MISSED_FIX
word_1_12_2_24_1,greateft,greatest,greateft,MISSED_FIX
word_1_12_2_24_10,belt,best,belt,MISSED_FIX
word_1_12_2_28_11,notwithstand,notwithstand,notwithstand-,FALSE_POSITIVE
word_1_12_2_29_5,fupport,support,support,CORRECT_FIX
word_1_12_2_30_0,greatelt,greatest,greatest,CORRECT_FIX
word_1_12_4_0_3,rofe,rose,rose,CORRECT_FIX
word_1_12_4_0_7,permillion,permission,permission,CORRECT_FIX
word_1_12_4_1_3,Houfe,House,House,CORRECT_FIX
word_1_12_4_1_10,meffage,message,message,CORRECT_FIX
word_1_12_4_2_3,fill,still,fill,MISSED_FIX
word_1_12_4_2_11,effufion,effusion,effusion,CORRECT_FIX
word_1_12_4_3_1,Majelly's,Majesty's,Majesty's,CORRECT_FIX
word_1_12_4_3_9,fuffering,suffering,suffering,CORRECT_FIX
word_1_12_4_3_13,refrect,respect,respect,CORRECT_FIX
word_1_12_4_5_2,Houfe,House,House,CORRECT_FIX
word_1_12_4_5_17,Righe,Righe,Right,FALSE_POSITIVE
word_1_12_4_8_7,clofe,close,close,CORRECT_FIX
word_1_12_4_9_0,Rage,stage,Rage,MISSED_FIX
word_1_12_4_9_3,bafinefs,business,business,CORRECT_FIX
word_1_12_4_9_6,difcufs,discuss,discuss,CORRECT_FIX
word_1_12_4_9_12,difcretion,discretion,discretion,CORRECT_FIX
word_1_16_0_0_2,8855,855,8855,MISSED_FIX
word_1_20_0_0_4,AoUST,AOUST,AoUST,MISSED_FIX
word_1_21_1_0_0,Majene,Majene,Majesté,FALSE_POSITIVE
word_1_21_1_0_23,meffage,meffage,message,FALSE_POSITIVE
word_1_23_0_0_0,Porateur,Porateur,l'Orateur,FALSE_POSITIVE
word_1_23_0_0_10,d'ufage,d'ufage,d'usage,FALSE_POSITIVE
word_1_26_0_0_0,27,"""",27,MISSED_FIX
word_1_27_0_0_2,Majeflé,Majeflé,Majesté,FALSE_POSITIVE
word_1_27_0_0_3,confidérant,confidérant,considérant,FALSE_POSITIVE
word_1_27_0_0_6,fubfides,fubfides,subsides,FALSE_POSITIVE
word_1_27_0_1_4,fupportées,fupportées,supportées,FALSE_POSITIVE
word_1_27_0_2_10,.,.,a,FALSE_POSITIVE
word_1_27_0_3_3,confidération,confidération,considération,FALSE_POSITIVE
word_1_27_0_3_6,folide,folide,solide,FALSE_POSITIVE
word_1_27_0_4_5,dépenfes,dépenfes,dépenses,FALSE_POSITIVE
word_1_27_0_5_9,à,à,a,FALSE_POSITIVE
word_1_27_0_6_3,foh,foh,son,FALSE_POSITIVE
word_1_27_0_6_4,établiffement,établiffement,établissement,FALSE_POSITIVE
word_1_27_0_6_11,mettré,mettré,mettre,FALSE_POSITIVE
word_1_27_0_7_7,alliftance,alliftance,assistance,FALSE_POSITIVE
word_1_27_0_7_10,éxécution,éxécution,exécution,FALSE_POSITIVE
word_1_27_0_8_14,l'affec,l'affec,l'affec-,FALSE_POSITIVE
word_1_27_0_9_4,repofe,repofe,repose,FALSE_POSITIVE
word_1_27_0_11_0,jufqu'ici,jufqu'ici,jusqu'ici,FALSE_POSITIVE
word_1_27_0_11_6,reffource,reffource,ressource,FALSE_POSITIVE
word_1_27_0_11_11,ainfi,ainfi,ainsi,FALSE_POSITIVE
word_1_27_0_12_3,fureté,fureté,sureté,FALSE_POSITIVE
word_1_27_0_12_6,folide,solide,solide,CORRECT_FIX
word_1_27_0_12_10,ftable,ftable,stable,FALSE_POSITIVE
word_1_27_0_12_12,uhe,uhe,une,FALSE_POSITIVE
word_1_27_0_12_13,provifion,provision,provision,CORRECT_FIX
word_1_27_0_12_14,hono,hono,hono-,FALSE_POSITIVE
word_1_27_0_15_3,meffage,message,message,CORRECT_FIX
word_1_28_0_0_0,29,"""",29,MISSED_FIX
word_1_30_0_0_6,dir,dir,dit,FALSE_POSITIVE
word_1_30_0_0_13,meffage,meffage,message,FALSE_POSITIVE
word_1_30_0_0_16,Majette,Majette,Majeste,FALSE_POSITIVE
word_1_30_0_1_8,for,for,sur,FALSE_POSITIVE
word_1_30_0_2_4,fentait,fentait,sentait,FALSE_POSITIVE
word_1_30_0_3_4,meffage,meffage,message,FALSE_POSITIVE
word_1_30_0_3_5,étair,étair,était,FALSE_POSITIVE
word_1_30_0_3_11,effufion,effufion,effusion,FALSE_POSITIVE
word_1_30_0_4_4,détrefle,détrefle,détresse,FALSE_POSITIVE
word_1_30_0_4_10,d'ub,d'ub,d'un,FALSE_POSITIVE
word_1_30_0_4_15,ad,ad,au,FALSE_POSITIVE
word_1_30_0_5_2,foulager,foulager,soulager,FALSE_POSITIVE
word_1_30_0_6_3,miniftére,miniftére,ministére,FALSE_POSITIVE
word_1_30_0_6_6,le,le,"le
      }",FALSE_POSITIVE
word_1_30_0_7_3,people,people,peuple,FALSE_POSITIVE
word_1_30_0_7_6,diffipé,diffipé,dissipé,FALSE_POSITIVE
word_1_30_0_7_13,les,les,ses,FALSE_POSITIVE
word_1_30_0_8_8,fentiments,fentiments,sentiments,FALSE_POSITIVE
word_1_30_0_8_13,fork,fork,son,FALSE_POSITIVE
word_1_30_0_9_3,cteur,cteur,cœur,FALSE_POSITIVE
word_1_30_0_9_7,difpofé,disposé,disposé,CORRECT_FIX
word_1_30_0_9_15,for,for,son,FALSE_POSITIVE
word_1_30_0_10_2,lorfqu'on,lorfqu'on,lorsqu'on,FALSE_POSITIVE
word_1_30_0_10_5,dellous,dellous,dessous,FALSE_POSITIVE
word_1_30_0_10_9,fituation,fituation,situation,FALSE_POSITIVE
word_1_30_0_10_12,Qu'll,Qu'll,Qu'il,FALSE_POSITIVE
word_1_30_0_10_13,efpé,efpé,espé-,FALSE_POSITIVE
word_1_30_0_11_5,meffage,meffage,message,FALSE_POSITIVE
word_1_30_0_11_7,certe,certe,cette,FALSE_POSITIVE
word_1_30_0_12_9,se,se,le,FALSE_POSITIVE
word_1_30_0_12_11,feraient,feraient,seraient,FALSE_POSITIVE
word_1_30_0_13_6,fallitant,fallitant,s'assistant,FALSE_POSITIVE
word_1_30_0_15_0,conteftation,contestation,contestation,CORRECT_FIX
word_1_30_0_15_7,fupporterait,supporterait,supporterait,CORRECT_FIX
word_1_30_0_15_9,l'honneury,l'honneury,"l'honneur,",FALSE_POSITIVE
word_1_30_0_16_5,..,.,..,MISSED_FIX
word_1_30_1_0_5,paufe,pause,pause,CORRECT_FIX
word_1_30_1_0_10,effufions,effufions,effusions,FALSE_POSITIVE
word_1_30_1_0_12,foik,foik,son,FALSE_POSITIVE
word_1_30_1_1_3,fujer,fujer,sujet,FALSE_POSITIVE
word_1_30_1_2_12,vou,vou,vou-,FALSE_POSITIVE
word_1_30_1_3_11,faifait,faifait,faisait,FALSE_POSITIVE
word_1_30_1_4_0,fenlations,fenlations,sensations,FALSE_POSITIVE
word_1_30_1_4_13,d'a,d'a,d'un,FALSE_POSITIVE
word_1_30_1_5_6,meffage,meffage,message,FALSE_POSITIVE
word_1_30_1_6_4,fouvenir,fouvenir,souvenir,FALSE_POSITIVE
word_1_30_1_7_3,finguller,finguller,singulier,FALSE_POSITIVE
word_1_30_1_8_0,préfence,préfence,présence,FALSE_POSITIVE
word_1_30_1_8_6,auffi,auffi,aussi,FALSE_POSITIVE
word_1_30_1_8_12,gracieufement,gracieufement,gracieusement,FALSE_POSITIVE
word_1_30_1_9_3,fouverain,fouverain,souverain,FALSE_POSITIVE
word_1_30_1_9_8,vou,vou,voul,FALSE_POSITIVE
word_1_30_1_10_7,caufait,caufait,causait,FALSE_POSITIVE
word_1_30_1_10_9,plaifir,plaifir,plaisir,FALSE_POSITIVE
word_1_30_1_10_11,univerfel,univerfel,universel,FALSE_POSITIVE
word_1_30_1_11_5,fentiments,fentiments,sentiments,FALSE_POSITIVE
word_1_30_1_11_9,d'éle,d'éle,d'élo-,FALSE_POSITIVE
word_1_30_1_12_5,qu'ainfi,qu'ainfi,qu'ainsi,FALSE_POSITIVE
word_1_30_1_13_6,adreffe,adreffe,adresse,FALSE_POSITIVE
word_1_30_1_14_0,meflage,message,message,CORRECT_FIX
word_1_30_1_14_2,l'effusor,l'effusor,l'assurer,FALSE_POSITIVE
word_1_30_1_14_6,sélée,sélée,zélée,FALSE_POSITIVE
word_1_30_1_15_5,Majellé,Majellé,Majesté,FALSE_POSITIVE
word_1_30_1_15_12,people,people,peuple,FALSE_POSITIVE
word_1_30_2_0_2,feconda,feconda,seconda,FALSE_POSITIVE
word_1_30_2_1_14,avaiene,avaiene,avaient,FALSE_POSITIVE
word_1_30_2_2_4,perfpeétive,perfpeétive,perspective,FALSE_POSITIVE
word_1_30_2_2_8,le,le,se,FALSE_POSITIVE
word_1_30_2_3_11,recl,recl,reci-,FALSE_POSITIVE
word_1_30_2_4_2,bordes,bordes,bornes,FALSE_POSITIVE
word_1_30_2_4_3,",",",",;,FALSE_POSITIVE
word_1_30_2_4_6,rejouillait,rejouillait,rejouissait,FALSE_POSITIVE
word_1_30_2_4_13,que,que,qui,FALSE_POSITIVE
word_1_30_2_5_5,of,of,et,FALSE_POSITIVE
word_1_30_2_5_14,f,f,sa,FALSE_POSITIVE
word_1_30_2_6_4,heureufement,heureufement,heureusement,FALSE_POSITIVE
word_1_30_2_6_5,diffipé,diffipé,dissipé,FALSE_POSITIVE
word_1_30_2_6_11,veillé,veillé,vérité,FALSE_POSITIVE
word_1_30_2_7_1,",",",",;,FALSE_POSITIVE
word_1_30_2_7_11,",",",",;,FALSE_POSITIVE
word_1_30_2_9_3,heureufe,heureufe,heureuse,FALSE_POSITIVE
word_1_30_2_9_5,floriflante,floriflante,florissante,FALSE_POSITIVE
word_1_30_2_10_8,ainfi,ainfi,ainsi,FALSE_POSITIVE
word_1_30_2_11_4,fouverain,fouverain,souverain,FALSE_POSITIVE
word_1_30_2_11_10,furtout,furtout,surtout,FALSE_POSITIVE
word_1_30_2_12_10,réjénté,réjénté,réjetté,FALSE_POSITIVE
word_1_30_2_13_3,foutenu,foutenu,soutenu,FALSE_POSITIVE
word_1_30_2_15_0,reufement,reufement,reusement,FALSE_POSITIVE
word_1_30_2_15_1,paffe,paffe,passe,FALSE_POSITIVE
word_1_30_2_16_2,adminißration,adminißration,administration,FALSE_POSITIVE
word_1_30_2_16_5,vertueufe,vertueufe,vertueuse,FALSE_POSITIVE
word_1_30_3_0_7,l'addreffe,l'addreffe,l'addresse,FALSE_POSITIVE
word_1_30_4_0_10,permiffio,permiffio,permission,FALSE_POSITIVE
word_1_30_4_0_13,fis,fis,ses,FALSE_POSITIVE
word_1_30_4_0_14,fentia,fentia,senti-,FALSE_POSITIVE
word_1_30_4_1_9,meffage,meffage,message,FALSE_POSITIVE
word_1_30_4_2_3,qul,qul,qui,FALSE_POSITIVE
word_1_30_4_2_9,c'étan,c'étan,c'était,FALSE_POSITIVE
word_1_30_4_2_10,one,one,une,FALSE_POSITIVE
word_1_30_4_2_11,fincere,fincere,sincere,FALSE_POSITIVE
word_1_30_4_2_12,effufion,effusion,effusion,CORRECT_FIX
word_1_30_4_2_13,dut,dut,du,FALSE_POSITIVE
word_1_30_4_3_3,Majelté,Majelté,Majesté,FALSE_POSITIVE
word_1_30_4_3_11,fouffrant,fouffrant,souffrant,FALSE_POSITIVE
word_1_30_4_4_7,la,la,sa,FALSE_POSITIVE
word_1_30_4_4_10,propofait,propofait,proposait,FALSE_POSITIVE
word_1_30_4_5_0,ferait,ferait,serait,FALSE_POSITIVE
word_1_30_4_5_7,femaine,femaine,semaine,FALSE_POSITIVE
word_1_30_4_5_12,peut,peut,peut-,FALSE_POSITIVE
word_1_30_4_6_6,an,an,un,FALSE_POSITIVE
word_1_30_4_6_11,les,les,ses,FALSE_POSITIVE
word_1_30_4_6_14,ie,ie,le,FALSE_POSITIVE
