Image,ID,Original,Manual,AI,Status
005_01_2,word_1_2_1_13_3,Rutha,Rutha,Prussian,FALSE_POSITIVE
005_01_2,word_1_2_1_13_4,lele,lele,left,FALSE_POSITIVE
005_01_2,word_1_2_1_13_7,on,on,one,FALSE_POSITIVE
005_01_2,word_1_2_1_13_8,:,:,of,FALSE_POSITIVE
005_01_2,word_1_2_1_13_9,of,of,which,FALSE_POSITIVE
005_01_2,word_1_2_1_13_10,which,which,Prince,FALSE_POSITIVE
005_01_2,word_1_2_1_13_11,Prince,Prince,Louis,FALSE_POSITIVE
005_01_2,word_1_2_1_13_12,Louis,Louis,Ferdinand,FALSE_POSITIVE
005_01_2,word_1_2_1_13_13,Ferdinand,Ferdinand,was,FALSE_POSITIVE
005_01_2,word_1_2_1_14_0,was,was,killed,FALSE_POSITIVE
005_01_2,word_1_2_1_14_1,killed,killed,af-,FALSE_POSITIVE
005_01_2,word_1_2_1_14_2,af,af,ter,FALSE_POSITIVE
005_01_2,word_1_2_1_15_0,te,te,defending,FALSE_POSITIVE
005_01_2,word_1_2_1_15_1,defending,defending,a post,FALSE_POSITIVE
005_01_2,word_1_2_1_15_2,pot,pot,with,FALSE_POSITIVE
005_01_2,word_1_2_1_15_3,with,with,6000,FALSE_POSITIVE
005_01_2,word_1_2_1_15_4,60co,60co,Prussians,FALSE_POSITIVE
005_01_2,word_1_2_1_15_5,Proilians,Proilians,against,FALSE_POSITIVE
005_01_2,word_1_2_1_15_6,against,against,"22,000",FALSE_POSITIVE
005_01_2,word_1_2_1_15_7,"22,000","22,000",French,FALSE_POSITIVE
005_01_2,word_1_2_1_15_8,French,French,for,FALSE_POSITIVE
005_01_2,word_1_2_1_15_9,for,for,a,FALSE_POSITIVE
005_01_2,word_1_2_1_15_10,a,a,whole,FALSE_POSITIVE
005_01_2,word_1_2_1_15_11,whole,whole,day;,FALSE_POSITIVE
005_01_2,word_1_2_1_15_12,day,day,in,FALSE_POSITIVE
005_01_2,word_1_2_1_15_13,;,;,ano-,FALSE_POSITIVE
005_01_2,word_1_2_1_15_14,in,in,ther,FALSE_POSITIVE
005_01_2,word_1_2_1_16_0,chery,chery,is,FALSE_POSITIVE
005_01_2,word_1_2_1_16_1,it,it,said,FALSE_POSITIVE
005_01_2,word_1_2_1_16_2,is,is,that,FALSE_POSITIVE
005_01_2,word_1_2_1_16_3,tard,tard,the,FALSE_POSITIVE
005_01_2,word_1_2_1_16_4,that,that,French,FALSE_POSITIVE
005_01_2,word_1_2_1_16_5,the,the,lost,FALSE_POSITIVE
005_01_2,word_1_2_1_16_6,French,French,"20,000",FALSE_POSITIVE
005_01_2,word_1_2_1_16_7,in,in,men,FALSE_POSITIVE
005_01_2,word_1_2_1_16_8,Killed,Killed,in,FALSE_POSITIVE
005_01_2,word_1_2_1_16_9,and,and,Killed,FALSE_POSITIVE
005_01_2,word_1_2_1_16_10,pritoners,pritoners,and prisoners,FALSE_POSITIVE
005_01_2,word_1_2_1_17_2,fuc,fuc,suc-,FALSE_POSITIVE
005_01_2,word_1_2_1_18_0,cdel,cdel,ceeded,FALSE_POSITIVE
005_01_2,word_1_2_1_18_3,th,th,them-,FALSE_POSITIVE
005_01_2,word_1_2_1_18_4,felves,felves,selves,FALSE_POSITIVE
005_01_2,word_1_2_1_18_7,vak,vak,flank,FALSE_POSITIVE
005_01_2,word_1_2_1_18_10,Pruthians,Pruthians,Prussians,FALSE_POSITIVE
005_01_2,word_1_2_1_20_0,thir,thir,their,FALSE_POSITIVE
005_01_2,word_1_2_1_20_9,Heral,Heral,general,FALSE_POSITIVE
005_01_2,word_1_2_1_23_6,off.ial,offcial,official,WRONG_FIX
005_01_2,word_1_2_2_0_4,bas,bas,has,FALSE_POSITIVE
005_01_2,word_1_2_2_0_5,erafed,erased,erased,CORRECT_FIX
005_01_2,word_1_2_2_0_7,thime,shame,shame,CORRECT_FIX
005_01_2,word_1_2_2_0_13,Rofbach,Rosbach,Rosbach,CORRECT_FIX
005_01_2,word_1_2_2_1_0,feven,feven,seven,FALSE_POSITIVE
005_01_2,word_1_2_2_1_2,term,term,termi-,FALSE_POSITIVE
005_01_2,word_1_2_2_3_0,tom,tom,tor,FALSE_POSITIVE
005_01_2,word_1_2_2_3_2,nted,nted,mented,FALSE_POSITIVE
005_01_2,word_1_2_2_3_6,Protha,Protha,Prussia,FALSE_POSITIVE
005_01_2,word_1_2_3_0_1,pofition,position,position,CORRECT_FIX
005_01_2,word_1_2_3_0_8,igft,igft,inst,FALSE_POSITIVE
005_01_2,word_1_2_3_0_13,!,:,:,CORRECT_FIX
005_01_2,word_1_2_4_0_5,Marnal,Marnal,Marshal,FALSE_POSITIVE
005_01_2,word_1_2_4_0_6,favout,favout,Davoust,FALSE_POSITIVE
005_01_2,word_1_2_4_0_12,Niumburg,Niumburg,Naumburg,FALSE_POSITIVE
005_01_2,word_1_2_4_1_0,dions,divisions,divisions,CORRECT_FIX
005_01_2,word_1_2_4_1_5,Leipfic,Leipfic,Leipsic,FALSE_POSITIVE
005_01_2,word_1_2_5_0_5,Poute,Poute,Ponte,FALSE_POSITIVE
005_01_2,word_1_2_5_0_11,utarch,utarch,march,FALSE_POSITIVE
005_01_2,word_1_2_5_0_14,:,:,;,FALSE_POSITIVE
005_01_2,word_1_2_5_1_8,Angereau,Angereau,Augereau,FALSE_POSITIVE
005_01_2,word_1_2_5_4_2,Ny,Ny,Ney,FALSE_POSITIVE
005_01_2,word_1_2_6_1_5,is,was,is,MISSED_FIX
005_01_2,word_1_2_6_1_9,fruin,fruin,from,FALSE_POSITIVE
005_01_2,word_1_2_6_4_0,pofition,pofition,position,FALSE_POSITIVE
005_01_2,word_1_4_0_0_2,uita,uita,Prussia,FALSE_POSITIVE
005_01_2,word_1_4_0_1_2,Bankfort,Bankfort,Frankfort,FALSE_POSITIVE
005_01_2,word_1_4_0_1_5,sente,sente,centre,FALSE_POSITIVE
005_01_2,word_1_4_0_1_7,Wurtzbarg,Wurtzbarg,Wurtzburg,FALSE_POSITIVE
005_01_2,word_1_4_0_3_0,thedeps,thedeps,divisions,FALSE_POSITIVE
005_01_2,word_1_4_0_5_0,m,m,my,FALSE_POSITIVE
005_01_2,word_1_4_0_5_12,Lobenlein,Lobenlein,Lobenstein,FALSE_POSITIVE
005_01_2,word_1_4_0_7_2,Pruffian,Pruffian,Prussian,FALSE_POSITIVE
005_01_2,word_1_4_0_9_0,abete,abete,"12th, to",FALSE_POSITIVE
005_01_2,word_1_4_0_11_1,batterygen,batterygen,"battle, between",FALSE_POSITIVE
005_01_2,word_1_4_0_12_0,Qo,Qo,On,FALSE_POSITIVE
005_01_2,word_1_4_0_12_3,ofclock,ofclock,o'clock,FALSE_POSITIVE
005_01_2,word_1_4_0_12_16,(,(,s,FALSE_POSITIVE
005_01_2,word_1_4_0_15_0,oci,occupied,occupied,CORRECT_FIX
005_01_2,word_1_4_0_15_3,avanced,avanced,advanced,FALSE_POSITIVE
005_01_2,word_1_4_0_15_4,polts,polts,posts,FALSE_POSITIVE
005_01_2,word_1_4_0_15_13,feemed,feemed,seemed,FALSE_POSITIVE
005_01_2,word_1_4_0_15_15,mancey-,mancey-,manoeu-,FALSE_POSITIVE
005_01_2,word_1_4_0_16_0,vacapurpnie,vacapurpnie,vre with the purpose,FALSE_POSITIVE
005_01_2,word_1_4_0_16_11,pallages,pallages,passages,FALSE_POSITIVE
005_01_2,word_1_4_0_18_0,myhaamo,myhaamo,my made a most,FALSE_POSITIVE
005_01_2,word_1_4_0_18_1,vbiting,vbiting,obstinate,FALSE_POSITIVE
005_01_2,word_1_4_0_18_13,Devoult,Devoult,Davoust,FALSE_POSITIVE
005_01_2,word_1_4_0_19_0,ored,ored,ordered,FALSE_POSITIVE
005_01_2,word_1_4_0_19_3,hinu,hinu,him,FALSE_POSITIVE
005_01_2,word_1_4_0_19_4,leak.while,leak.while,leak. while,FALSE_POSITIVE
005_01_2,word_1_4_0_19_7,Brince,Brince,Prince,FALSE_POSITIVE
005_01_2,word_1_4_0_19_14,himy,himy,him,FALSE_POSITIVE
005_01_2,word_1_4_0_20_0,We,The,We,MISSED_FIX
005_01_2,word_1_4_0_20_7,Mahal,Mashal,Mahal,MISSED_FIX
005_01_2,word_1_4_0_21_1,batte,batte,battle,FALSE_POSITIVE
005_01_2,word_1_4_1_0_15,obfcu,obfcu,obscu-,FALSE_POSITIVE
005_01_2,word_1_4_1_1_10,ag,ag,against,FALSE_POSITIVE
005_01_2,word_1_4_1_1_13,formidabier,formidabier,formidable,FALSE_POSITIVE
005_01_2,word_1_4_1_2_2,ruthan,ruthan,Prussian,FALSE_POSITIVE
005_01_2,word_1_4_1_3_0,mufketry,mufketry,musketry,FALSE_POSITIVE
005_01_2,word_1_4_1_4_0,bekGood,bekGood,best—Good,FALSE_POSITIVE
005_01_2,word_1_4_1_5_0,Biench,Biench,French,FALSE_POSITIVE
005_01_2,word_1_4_1_6_0,anny,anny,army,FALSE_POSITIVE
005_01_2,word_1_4_1_6_5,batte,batte,battle,FALSE_POSITIVE
005_01_2,word_1_4_2_0_8,difper,difper,disper,FALSE_POSITIVE
005_01_2,word_1_4_2_1_0,vim,vim,vision,FALSE_POSITIVE
005_01_2,word_1_4_2_1_4,coomd,coomd,men,FALSE_POSITIVE
005_01_2,word_1_4_2_4_2,Maria,Maria,Marshal,FALSE_POSITIVE
005_01_2,word_1_4_2_4_3,Divoull,Divoull,Davoust,FALSE_POSITIVE
005_01_2,word_1_4_2_4_8,divifions,divisions,divisions,CORRECT_FIX
005_01_2,word_1_4_2_4_14,rogelber,rogelber,together,FALSE_POSITIVE
005_01_2,word_1_4_2_5_0,dr,dr,drew,FALSE_POSITIVE
005_01_2,word_1_4_2_5_1,op,op,up,FALSE_POSITIVE
005_01_2,word_1_4_3_0_1,Intovered,Intovered,fog covered,FALSE_POSITIVE
005_01_2,word_1_4_3_0_6,face,face,space,FALSE_POSITIVE
005_01_2,word_1_4_3_0_11,bot,bot,but,FALSE_POSITIVE
005_01_2,word_1_4_3_1_0,aries,armies,aries,MISSED_FIX
005_01_2,word_1_4_3_1_9,ditance,distance,distance,CORRECT_FIX
005_01_2,word_1_4_3_1_13,fhot,shot,shot,CORRECT_FIX
005_01_2,word_1_4_4_1_0,abtuves,abtuves,noeuvres,FALSE_POSITIVE
005_01_2,word_1_4_4_1_4,exactnel's,exactnel's,exactness,FALSE_POSITIVE
005_01_2,word_1_4_4_1_6,fwiftnefs,fwiftnefs,swiftness,FALSE_POSITIVE
005_01_2,word_1_4_4_2_0,Maishal,Maishal,Marshal,FALSE_POSITIVE
005_01_2,word_1_4_4_2_1,Augereed,Augereed,Augereau,FALSE_POSITIVE
005_01_2,word_1_4_4_2_6,hidh,hidh,him,FALSE_POSITIVE
005_01_2,word_1_4_5_0_3,cccto,cccto,to,FALSE_POSITIVE
005_01_2,word_1_4_5_0_14,fpread,fpread,spread,FALSE_POSITIVE
005_01_2,word_1_4_5_1_9,pectacles,pectacles,spectacles,FALSE_POSITIVE
005_01_2,word_1_4_5_1_11,Bumperor,Bumperor,Emperor,FALSE_POSITIVE
005_01_2,word_1_4_5_2_7,befiles,befiles,besides,FALSE_POSITIVE
005_01_2,word_1_4_5_2_10,guard.com,guard.com,guard.,FALSE_POSITIVE
005_01_2,word_1_6_0_0_3,critis,critis,crisis,FALSE_POSITIVE
005_01_2,word_1_6_0_1_0,tre,tre,tle,FALSE_POSITIVE
005_01_2,word_1_6_0_1_2,referve,referve,reserve,FALSE_POSITIVE
005_01_2,word_1_6_0_2_2,atiny,atiny,army,FALSE_POSITIVE
005_01_2,word_1_6_0_2_5,chrew,chrew,threw,FALSE_POSITIVE
005_01_2,word_1_6_0_2_9,contation,contation,confusion,FALSE_POSITIVE
005_01_2,word_1_6_0_2_13,poft,poft,post,FALSE_POSITIVE
005_01_2,word_1_6_0_3_16,horfe,horfe,horse,FALSE_POSITIVE
005_01_2,word_1_6_0_3_18,aragoons,aragoons,dragoons,FALSE_POSITIVE
005_01_2,word_1_6_0_4_0,TR,The,TR,MISSED_FIX
005_01_2,word_1_6_0_4_18,ftand,ftand,stand,FALSE_POSITIVE
005_01_2,word_1_6_0_5_3,Stedes,Stedes,pieces,FALSE_POSITIVE
005_01_2,word_1_6_0_5_10,tores,tores,stores,FALSE_POSITIVE
005_01_2,word_1_6_1_0_1,eneily,eneily,enemy,FALSE_POSITIVE
005_01_2,word_1_6_1_0_3,fulpoked,fulpoked,supposed,FALSE_POSITIVE
005_01_2,word_1_6_1_0_12,wunded,wunded,wounded,FALSE_POSITIVE
005_01_2,word_1_6_1_1_4,Praila,Praila,Prussia,FALSE_POSITIVE
005_01_2,word_1_6_2_0_2,iselinated,iselinated,estimated,FALSE_POSITIVE
005_01_2,word_1_6_2_0_15,exer,exer,of,FALSE_POSITIVE
005_01_2,word_1_6_2_1_1,Doke,Doke,Duke,FALSE_POSITIVE
005_01_2,word_1_6_2_1_9,iclofed,iclofed,enclosed,FALSE_POSITIVE
005_01_2,word_1_6_2_1_14,garifoned,garifoned,garisoned,FALSE_POSITIVE
005_01_2,word_1_6_3_0_1,thes,thes,patches,FALSE_POSITIVE
005_01_2,word_1_6_3_0_10,Ambalador,Ambalador,Ambassador,FALSE_POSITIVE
005_01_2,word_1_6_3_2_2,levele,levele,severe,FALSE_POSITIVE
005_01_2,word_1_6_3_2_7,ditadvantage,ditadvantage,disadvantage,FALSE_POSITIVE
005_01_2,word_1_6_3_2_10,Prullans,Prullans,Prussians,FALSE_POSITIVE
005_01_2,word_1_6_3_2_13,fatelt,fatelt,latest,FALSE_POSITIVE
005_01_2,word_1_6_3_2_17,fcene,fcene,scene,FALSE_POSITIVE
005_01_2,word_1_6_3_3_2,cunted,cunted,contained,FALSE_POSITIVE
005_01_2,word_1_6_3_3_10,folowing,folowing,following,FALSE_POSITIVE
005_01_2,word_1_6_3_4_0,beguboth,beguboth,be published,FALSE_POSITIVE
005_01_2,word_1_6_3_4_5,affo,affo,also,FALSE_POSITIVE
005_01_2,word_1_6_4_1_12,niti,niti,inst,FALSE_POSITIVE
005_01_2,word_1_6_4_2_0,umbur,umbur,Naumbur,FALSE_POSITIVE
005_01_2,word_1_6_4_2_2,anihilated,anihilated,annihilated,FALSE_POSITIVE
005_01_2,word_1_6_4_2_4,Pithan,Pithan,Prussian,FALSE_POSITIVE
005_01_2,word_1_6_4_2_11,referve,referve,reserve,FALSE_POSITIVE
005_01_2,word_1_6_4_3_3,Witt,Witt,Wirt-,FALSE_POSITIVE
005_01_2,word_1_6_4_3_9,Martha,Martha,Marshal,FALSE_POSITIVE
005_01_2,word_1_6_4_3_10,Davouit,Davouit,Davoust,FALSE_POSITIVE
005_01_2,word_1_6_4_3_13,Lanchitadt,Lanchitadt,Lauchstadt,FALSE_POSITIVE
005_01_2,word_1_6_4_4_0,Hale,Hale,Halle,FALSE_POSITIVE
005_01_2,word_1_6_4_4_8,it,it,will,FALSE_POSITIVE
005_01_2,word_1_6_4_5_0,fuit,fuit,full,FALSE_POSITIVE
005_01_2,word_1_6_4_5_2,confuled,confuled,confused,FALSE_POSITIVE
005_01_2,word_1_6_4_5_5,Yelerday,Yelerday,Yesterday,FALSE_POSITIVE
005_01_2,word_1_6_4_5_12,fet,fet,set,FALSE_POSITIVE
005_01_2,word_1_6_4_6_9,Tanenzien,Tanenzien,Tauenzien,FALSE_POSITIVE
005_01_2,word_1_6_4_6_11,palling,palling,passing,FALSE_POSITIVE
005_01_2,word_1_6_4_7_0,Warm,Warm,Weimar,FALSE_POSITIVE
005_01_2,word_1_6_4_7_2,Ordhave,Ordhave,Orders have,FALSE_POSITIVE
005_01_2,word_1_6_4_7_4,tent,tent,sent,FALSE_POSITIVE
005_01_2,word_1_6_4_7_6,ambargh,ambargh,Hamburgh,FALSE_POSITIVE
005_01_2,word_1_6_5_0_1,New,New,New-,FALSE_POSITIVE
005_01_2,word_1_6_5_0_2,",",",",York,FALSE_POSITIVE
005_01_2,word_1_6_5_0_3,Mark,Mark,papers,FALSE_POSITIVE
005_01_2,word_1_6_5_0_5,containg,containg,contain,FALSE_POSITIVE
005_01_2,word_1_6_5_0_12,Amfterdam,Amfterdam,Amsterdam,FALSE_POSITIVE
005_01_2,word_1_6_5_0_16,Octo,Octo,Octo-,FALSE_POSITIVE
005_01_2,word_1_6_5_1_8,wacw.th,wacw.th,war with,FALSE_POSITIVE
005_01_2,word_1_6_5_1_9,Pra,Pra,Prussia,FALSE_POSITIVE
005_01_2,word_1_6_5_2_7,howevr,howevr,however,FALSE_POSITIVE
005_01_2,word_1_6_5_2_8,citradicted,citradicted,contradicted,FALSE_POSITIVE
005_01_2,word_1_6_5_3_7,feen,feen,seen,FALSE_POSITIVE
005_01_2,word_1_6_6_0_3,giv,giv,given,FALSE_POSITIVE
005_01_2,word_1_6_6_1_8,fhew,fhew,shew,FALSE_POSITIVE
005_01_2,word_1_6_6_1_15,flaves,flaves,slaves,FALSE_POSITIVE
005_01_2,word_1_6_6_2_5,or,or,not,FALSE_POSITIVE
005_01_2,word_1_6_6_2_8,difaitrous,difaitrous,disastrous,FALSE_POSITIVE
005_01_2,word_1_6_6_2_12,reprefented,reprefented,represented,FALSE_POSITIVE
005_01_2,word_1_6_6_3_10,polla,polla,possess,FALSE_POSITIVE
005_01_2,word_1_6_6_4_4,prelent,prelent,present,FALSE_POSITIVE
005_01_2,word_1_6_6_4_9,fave,fave,save,FALSE_POSITIVE
005_01_2,word_1_6_6_4_17,flage,flage,stage,FALSE_POSITIVE
005_01_2,word_1_6_6_5_1,dithunque,dithunque,dishonour,FALSE_POSITIVE
005_01_2,word_1_6_6_5_3,he,he,the,FALSE_POSITIVE
005_01_2,word_1_6_6_5_11,and,and,find,FALSE_POSITIVE
005_01_2,word_1_6_6_5_13,la,la,in,FALSE_POSITIVE
005_01_2,word_1_6_6_5_17,end,end,and,FALSE_POSITIVE
005_01_2,word_1_6_6_5_19,defpair,defpair,despair,FALSE_POSITIVE
005_01_2,word_1_6_6_6_1,this,this,his,FALSE_POSITIVE
005_01_2,word_1_6_6_6_2,fubjects,fubjects,subjects,FALSE_POSITIVE
005_01_2,word_1_6_6_6_7,lots,lots,loss,FALSE_POSITIVE
005_01_2,word_1_6_6_6_13,poliefs,poliefs,possess,FALSE_POSITIVE
005_01_2,word_1_6_7_0_0,AB'll,AB'll,A Bill,FALSE_POSITIVE
005_01_2,word_1_6_7_0_7,congrefs,congrefs,congress,FALSE_POSITIVE
005_01_2,word_1_6_7_0_9,fufpending,fufpending,suspending,FALSE_POSITIVE
005_01_2,word_1_6_7_1_0,noh,noh,non,FALSE_POSITIVE
005_01_2,word_1_6_7_1_2,inportation,inportation,importation,FALSE_POSITIVE
005_01_2,word_1_6_7_1_5,the,the,a time ;,FALSE_POSITIVE
005_01_2,word_1_6_7_1_13,meature,meature,measure,FALSE_POSITIVE
005_01_2,word_1_6_7_1_15,to,to,so,FALSE_POSITIVE
005_01_2,word_1_6_7_2_0,w,w,we,FALSE_POSITIVE
005_01_2,word_1_6_7_2_1,Year,Year,fear,FALSE_POSITIVE
005_01_2,word_1_6_7_2_6,fall,fall,still,FALSE_POSITIVE
005_01_2,word_1_6_7_2_7,intensed,intensed,intended,FALSE_POSITIVE
005_01_2,word_1_6_7_2_11,dis,dis,this,FALSE_POSITIVE
005_01_2,word_1_6_7_2_12,net,net,Act,FALSE_POSITIVE
005_01_2,word_1_6_7_2_14,terrerem,terrerem,terrorem,FALSE_POSITIVE
005_01_2,word_1_6_7_2_17,Brith,Brith,British,FALSE_POSITIVE
005_01_2,word_1_6_7_3_8,arrangemen,arrangemen,arrangement,FALSE_POSITIVE
005_01_2,word_1_6_8_0_6,uinox,uinox,ult. Thomas,FALSE_POSITIVE
005_01_2,word_1_6_8_0_9,Elquile,Elquile,Esquire,FALSE_POSITIVE
005_01_2,word_1_6_8_1_0,Gurzifon,Gurzifon,Garrison,FALSE_POSITIVE
005_01_2,word_1_6_8_1_7,Bartof,Bartof,Port of,FALSE_POSITIVE
005_01_2,word_1_6_9_0_0,aleté,aleté,Il a été,FALSE_POSITIVE
005_01_2,word_1_6_9_0_6,Copges,Copges,Congres,FALSE_POSITIVE
005_01_2,word_1_6_9_0_8,Americjan,Americjan,Americain,FALSE_POSITIVE
005_01_2,word_1_6_9_0_9,tulpende,tulpende,suspende,FALSE_POSITIVE
005_01_2,word_1_6_9_1_9,l'Acle,l'Acle,l'Acte,FALSE_POSITIVE
005_01_2,word_1_6_9_1_15,melure,melure,mesure,FALSE_POSITIVE
005_01_2,word_1_6_9_1_17,toj,toj,tou,FALSE_POSITIVE
005_01_2,word_1_6_9_1_18,urs,urs,jours,FALSE_POSITIVE
005_01_2,word_1_6_9_1_19,bou-,bou-,bon-,FALSE_POSITIVE
005_01_2,word_1_6_9_2_3,craigeons,craigeons,craignons,FALSE_POSITIVE
005_01_2,word_1_6_9_2_8,prope,prope,propose,FALSE_POSITIVE
005_01_2,word_1_6_9_2_15,cavers,cavers,envers,FALSE_POSITIVE
005_01_2,word_1_6_9_3_0,Gouvernemen,Gouvernemen,Gouvernement,FALSE_POSITIVE
005_01_2,word_1_6_9_3_1,Britasique,Britasique,Britannique,FALSE_POSITIVE
005_01_2,word_1_6_9_3_13,vehir,vehir,venir,FALSE_POSITIVE
005_01_2,word_1_6_9_4_0,atrangement,atrangement,arrangement,FALSE_POSITIVE
005_01_2,word_1_6_9_4_2,l'amiab.c,l'amiab.c,l'amiable,FALSE_POSITIVE
005_01_2,word_1_6_10_0_0,MousVT,MousVT,Mourut,FALSE_POSITIVE
005_01_2,word_1_6_10_0_15,garnifon,garnifon,garnison,FALSE_POSITIVE
005_01_2,word_1_7_0_0_2,pushed,published,pushed,MISSED_FIX
005_01_2,word_1_9_0_0_6,1807,1807,"1807
      }",FALSE_POSITIVE
005_01_2,word_1_10_0_0_2,vaiffeau,vaiffeau,vaisseau,FALSE_POSITIVE
005_01_2,word_1_10_0_0_15,d'Amfterdam,d'Amfterdam,d'Amsterdam,FALSE_POSITIVE
005_01_2,word_1_10_0_0_19,read,read,recu,FALSE_POSITIVE
005_01_2,word_1_10_0_1_2,H.,H.,Hol,FALSE_POSITIVE
005_01_2,word_1_10_0_1_3,liandois,liandois,landois,FALSE_POSITIVE
005_01_2,word_1_10_0_1_4,julqu'à,julqu'à,jusqu'à,FALSE_POSITIVE
005_01_2,word_1_10_0_1_13,jufqu'au,jufqu'au,jusqu'au,FALSE_POSITIVE
005_01_2,word_1_10_1_0_0,3,3,Il,FALSE_POSITIVE
005_01_2,word_1_10_1_0_5,d'Octubre,d'Octubre,d'Octobre,FALSE_POSITIVE
005_01_2,word_1_10_1_0_9,Baé,Baé,fixé,FALSE_POSITIVE
005_01_2,word_1_10_1_0_13,Prufienne,Prufienne,Prussienne,FALSE_POSITIVE
005_01_2,word_1_10_1_0_16,commence,commence,commence-,FALSE_POSITIVE
005_01_2,word_1_10_1_1_9,Françols,Françols,François,FALSE_POSITIVE
005_01_2,word_1_10_1_2_0,feyti,feyti,senti,FALSE_POSITIVE
005_01_2,word_1_10_1_2_7,Prodle,Prodle,Prusse,FALSE_POSITIVE
005_01_2,word_1_10_1_2_10,Tetiver,Tetiver,retirer,FALSE_POSITIVE
005_01_2,word_1_10_1_2_13,Erançoifes,Erançoifes,Françoises,FALSE_POSITIVE
005_01_2,word_1_10_1_4_3,Pralienne,Pralienne,Prussienne,FALSE_POSITIVE
005_01_2,word_1_10_1_4_11,ne,ne,me,FALSE_POSITIVE
005_01_2,word_1_10_1_4_15,from-,from-,fron-,FALSE_POSITIVE
005_01_2,word_1_10_1_5_11,se,se,ise,FALSE_POSITIVE
005_01_2,word_1_10_1_5_19,cetre,cetre,cette,FALSE_POSITIVE
005_01_2,word_1_10_1_5_20,po,po,po-,FALSE_POSITIVE
005_01_2,word_1_10_1_6_0,fition,fition,sition,FALSE_POSITIVE
005_01_2,word_1_10_1_6_3,les,les,ses,FALSE_POSITIVE
005_01_2,word_1_10_1_6_11,Pruffiens,Pruffiens,Prussiens,FALSE_POSITIVE
005_01_2,word_1_10_1_6_13,Lobenftein,Lobenftein,Lobenstein,FALSE_POSITIVE
005_01_2,word_1_10_1_6_14,juf-,juf-,jus-,FALSE_POSITIVE
005_01_2,word_1_10_1_7_0,quà,quà,qu'à,FALSE_POSITIVE
005_01_2,word_1_10_1_8_0,Pruiens,Pruiens,Prussiens,FALSE_POSITIVE
005_01_2,word_1_10_1_8_3,l'ane,l'ane,l'une,FALSE_POSITIVE
005_01_2,word_1_10_1_9_0,pofte,pofte,poste,FALSE_POSITIVE
005_01_2,word_1_10_1_9_3,Prullens,Prullens,Prussiens,FALSE_POSITIVE
